,m1,p,y,r
Q1 1982,29.104181010070022,3.2823144003808338,3.800969856248942,2.4824035194863394
Q2 1982,29.15961766851802,3.3172604408416193,3.8047213720373145,2.4951319703032926
Q3 1982,29.175173561664018,3.346074966398419,3.8114569803644973,2.506613780421392
Q4 1982,29.241138797267407,3.368705095580616,3.814975742080559,2.5395000483658716
Q1 1983,29.20416841826161,3.4065319549527766,3.818623711064339,2.5022552880407134
Q2 1983,29.220337950366428,3.4306398073889732,3.8247808130845717,2.515812979467014
Q3 1983,29.2252032484712,3.451040147004648,3.8262248012979847,2.5068855564524277
Q4 1983,29.307650277902972,3.4861685658432133,3.8326780378899845,2.517696472610991
Q1 1984,29.212943936322006,3.520259206046178,3.84092871170385,2.5273273656719524
Q2 1984,29.268560458473523,3.5375617353869018,3.8378411031538424,2.5358109795969694
Q3 1984,29.295155525281675,3.564593443823343,3.8465125494370644,2.513925932162121
Q4 1984,29.38687703081025,3.5799157625766833,3.8477880598140755,2.458733775483977
Q1 1985,29.32154119561085,3.6114962037393705,3.858886097676483,2.402732041568828
Q2 1985,29.374062918359172,3.629865848970949,3.857946364194857,2.3668110652308005
Q3 1985,29.40366572129692,3.639988159533676,3.868259667102428,2.3501046089302324
Q4 1985,29.508269971172016,3.659460262946496,3.879666796912028,2.293880652363899
Q1 1986,29.47767903980404,3.6972379184296362,3.88248327455276,2.244602810455699
Q2 1986,29.533621058382213,3.708304818152299,3.9059963672865403,2.2213750375685026
Q3 1986,29.549060751066932,3.730516001116726,3.8989563760726362,2.180794035940123
Q4 1986,29.639261993597263,3.741965320387147,3.9053594846872897,2.162172939277301
Q1 1987,29.590411426540555,3.7564000171334615,3.9256105621377957,2.1474895224536823
Q2 1987,29.65491030630045,3.76326746640917,3.94043737923608,2.178909731632825
Q3 1987,29.68183167480923,3.775846248616029,3.9609239151804196,2.21375387928743
Q4 1987,29.788672918144943,3.7873823223195044,3.981130416964201,2.231089091288976
Q1 1988,29.77555961654054,3.799604827279767,3.984362531242074,2.229297297224213
Q2 1988,29.847427212680696,3.803102965175339,3.996498471020337,2.201659174404085
Q3 1988,29.883217768189365,3.8282752614675086,4.0143777238480425,2.191653532286764
Q4 1988,29.96507580579199,3.8406837681113375,4.012142991377058,2.1923981339592906
Q1 1989,29.9528890933327,3.8600026769222398,4.035408872137671,2.220651710231359
Q2 1989,30.027488096475718,3.869905102123401,4.045242989119643,2.2460147415056513
Q3 1989,30.034988823211197,3.8951167473600994,4.058520338395237,2.256541154492639
Q4 1989,30.10415878211655,3.909295401016813,4.056879150293218,2.299580583973747
Q1 1990,30.087219601579804,3.9275503289354936,4.065591141151042,2.328577673268296
Q2 1990,30.190586776496787,3.9353312742581776,4.082444828759607,2.3630528397611323
Q3 1990,30.192371697866225,3.9571206065709243,4.079465557714032,2.374285407159234
Q4 1990,30.281661106786874,3.9744813809015085,4.116594417509704,2.396682416373164
Q1 1991,30.27215485973159,3.9875369053867282,4.097170525899794,2.402430427963762
Q2 1991,30.344828048543118,3.9942897768904166,4.109318520863714,2.3570732782781154
Q3 1991,30.341501694602467,4.0146559166746405,4.116823624169161,2.3210796756302132
Q4 1991,30.39726475060849,4.028780841658185,4.12178641351129,2.3115448343655176
Q1 1992,30.366621631117763,4.051010102710409,4.131695160884345,2.3366644066469116
Q2 1992,30.398773160276804,4.0562199815297495,4.118598196734,2.3266270874742805
Q3 1992,30.377580238458865,4.0690602405512335,4.119236653786102,2.343407087514304
Q4 1992,30.380296430287736,4.079532934448873,4.112689844778964,2.3727328528961307
Q1 1993,30.335605317387582,4.092471427699099,4.103325885140296,2.363680192353857
Q2 1993,30.368397082412585,4.10192632746963,4.1032774892229655,2.360224872440457
Q3 1993,30.350064008727486,4.113940545609111,4.115218073206413,2.225704048658088
Q4 1993,30.414827929430004,4.126107125666843,4.118950827890235,2.0831845279586703
Q1 1994,30.394840247467073,4.14124499105177,4.127197338560677,1.9615022438151495
Q2 1994,30.447626723585103,4.149181868729559,4.129415775142953,1.8707760095462789
Q3 1994,30.446872850977797,4.159789549134791,4.137305510625447,1.8630460045521293
Q4 1994,30.48389866939713,4.16875276287471,4.141031439997174,1.9115158651696131
Q1 1995,30.44649570144551,4.1878291446814675,4.177016372386308,2.009108486833929
Q2 1995,30.4849017652423,4.199173208353285,4.180362383385681,2.0506990728141816
Q3 1995,30.48371985126911,4.203238254601456,4.1831777355038415,2.060513531794317
Q4 1995,30.515140032158946,4.211551241913912,4.188395571653868,2.032524621892084
Q1 1996,30.49144327300913,4.223663280783646,4.194057752333031,1.9969653198555979
Q2 1996,30.539571088795377,4.2346102143821405,4.202333267748289,1.8240115130652435
Q3 1996,30.53516427790863,4.239249193830414,4.210796458549941,1.7410507992359918
Q4 1996,30.581552027850698,4.244166344289175,4.217177960906187,1.6473757517744918
Q1 1997,30.59969046993285,4.248761305397007,4.227630108061816,1.4823618298661234
Q2 1997,30.67298313572062,4.25021384666806,4.236766896491902,1.3879596404389527
Q3 1997,30.649947318632083,4.257112472054174,4.248138404782088,1.3402504226184837
Q4 1997,30.714530723052516,4.263706833661858,4.263453037078265,1.2809338454620642
Q1 1998,30.70859601479356,4.267042675022077,4.247595933512727,1.177628828986335
Q2 1998,30.747536365259894,4.2701850336440685,4.256050205212071,1.1184149159642893
Q3 1998,30.751322238231662,4.276730273548146,4.264908839110197,1.0704414117014145
Q4 1998,30.860662780616227,4.278540818654556,4.273370748401798,0.9015154462919993
