Name,GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,"World Development Indicators (WDI), November 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link,https://knoema.com/WBWDIGDF2015Oct/world-development-indicators-wdi-november-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Greenland - GDP (constant LCU),,,,,,,,,,,,"3,018,511,456.23","3,412,754,839.21","3,623,570,028.79","3,870,190,509.87","4,091,033,381.87","4,117,471,251.09","4,362,839,993.56","4,747,743,465.50","5,033,401,759.51","5,278,055,219.36","5,735,979,576.40","5,774,139,939.49","5,518,942,511.35","5,709,744,326.78","5,414,001,512.86","5,611,958,396.37","6,010,257,186.08","6,341,775,340.39","6,697,143,721.63","7,143,142,965.20","6,306,000,000.00","6,298,844,931.92","5,976,866,868.38","5,676,354,009.08","6,012,642,208.77","6,236,834,341.91","6,332,235,249.62","6,425,251,134.64","6,923,720,877.46","7,019,121,785.17","7,517,591,527.99","7,612,992,435.70","7,539,056,732.22","7,510,436,459.91","7,710,778,366.11","7,863,419,818.46","8,214,834,547.58","8,667,723,286.95","8,697,705,729.20","8,226,987,087.27",,,,,
Croatia - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217,558,108,200.00","230,336,815,000.00","245,643,788,400.00","250,217,383,200.00","247,876,599,600.00","257,215,341,000.00","266,049,155,900.00","280,007,357,100.00","295,569,905,700.00","307,637,465,400.00","320,447,000,000.00","335,781,000,000.00","353,074,000,000.00","360,323,000,000.00","333,718,000,000.00","328,041,000,000.00","327,118,000,000.00","319,962,000,000.00","316,957,000,000.00","315,689,330,000.00"
Hungary - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,560,619,017,200.00","15,083,813,587,700.00","14,996,914,452,900.00","15,438,896,700,500.00","15,668,863,000,000.00","15,674,178,000,000.00","16,202,771,000,000.00","16,884,661,000,000.00","17,431,407,000,000.00","18,170,569,000,000.00","18,849,260,000,000.00","19,695,808,000,000.00","20,439,984,000,000.00","21,418,927,000,000.00","22,331,300,000,000.00","23,216,277,000,000.00","23,334,977,000,000.00","23,539,994,000,000.00","21,997,882,000,000.00","22,171,471,000,000.00","22,572,022,000,000.00","22,238,420,000,000.00","22,577,593,000,000.00","23,398,390,047,923.20"
Isle of Man - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,"381,693,000.00","383,292,000.00","456,522,000.00","501,701,000.00","561,049,000.00","599,454,000.00","624,553,000.00","634,577,000.00","639,573,000.00","655,999,000.00","682,263,000.00","711,470,000.00","766,367,000.00","832,133,000.00","944,548,000.00","1,073,887,000.00","1,131,215,000.00","1,192,031,000.00","1,261,991,000.00","1,341,847,000.00","1,411,623,044.00","1,494,908,803.60","1,610,016,781.47","1,730,768,040.08",,,,,,,
Ireland - GDP (constant LCU),,,,,,,,,,,,"29,642,800,000.00","30,671,400,000.00","32,661,900,000.00","34,204,000,000.00","35,661,200,000.00","37,678,400,000.00","38,203,900,000.00","41,341,000,000.00","44,312,000,000.00","45,673,800,000.00","47,080,200,000.00","48,645,700,000.00","49,756,500,000.00","49,635,000,000.00","51,796,300,000.00","53,394,500,000.00","53,165,800,000.00","55,645,000,000.00","58,548,200,000.00","61,952,200,000.00","67,197,400,000.00","68,494,000,000.00","70,784,000,000.00","72,689,900,000.00","76,873,800,000.00","84,280,200,000.00","91,936,300,000.00","101,845,300,000.00","110,551,900,000.00","121,829,700,000.00","133,429,100,000.00","140,465,200,000.00","148,666,000,000.00","153,062,400,000.00","160,070,200,000.00","169,152,900,000.00","178,405,800,000.00","187,205,100,000.00","182,319,700,000.00","170,704,700,000.00","170,234,400,000.00","174,954,500,000.00","174,406,800,000.00","174,709,600,000.00","183,082,616,139.62"
Iceland - GDP (constant LCU),constant LCU,"169,834,729,824.30","169,690,944,436.55","183,798,562,109.99","202,699,271,965.08","222,800,034,486.43","239,224,249,906.20","260,122,721,236.63","256,826,285,194.08","242,765,286,607.67","248,529,962,037.63","274,854,800,000.00","310,753,100,000.00","329,949,400,000.00","352,405,800,000.00","372,515,100,000.00","374,922,100,000.00","397,265,100,000.00","432,312,900,000.00","458,323,900,000.00","480,601,100,000.00","508,225,700,000.00","529,901,600,000.00","541,318,600,000.00","529,674,000,000.00","551,544,900,000.00","569,706,400,000.00","605,430,000,000.00","657,169,700,000.00","656,580,100,000.00","658,276,900,000.00","665,974,600,000.00","664,486,000,000.00","642,067,000,000.00","650,500,200,000.00","673,975,800,000.00","674,761,600,000.00","707,049,300,000.00","741,788,000,000.00","789,546,000,000.00","822,413,000,000.00","861,396,000,000.00","893,810,000,000.00","897,863,000,000.00","922,208,000,000.00","998,093,000,000.00","1,057,998,000,000.00","1,102,782,000,000.00","1,210,000,000,000.00","1,223,923,000,000.00","1,160,896,000,000.00","1,125,290,000,000.00","1,152,308,000,000.00","1,167,401,000,000.00","1,208,965,000,000.00","1,231,590,000,000.00"
Italy - GDP (constant LCU),constant LCU,"363,679,094,222.94","393,527,131,823.07","417,940,179,538.26","441,385,486,721.95","453,734,138,543.65","468,562,277,815.37","496,604,765,959.52","532,254,097,593.26","567,087,757,912.16","601,669,109,617.27","655,916,100,000.00","667,841,400,000.00","692,487,900,000.00","741,833,700,000.00","782,635,600,000.00","766,277,200,000.00","820,877,400,000.00","841,896,000,000.00","869,174,600,000.00","920,970,100,000.00","952,559,500,000.00","960,601,300,000.00","964,574,200,000.00","975,852,000,000.00","1,007,331,600,000.00","1,035,517,600,000.00","1,065,133,100,000.00","1,099,131,700,000.00","1,145,233,500,000.00","1,184,038,400,000.00","1,207,550,700,000.00","1,226,128,200,000.00","1,236,357,500,000.00","1,225,813,800,000.00","1,252,181,300,000.00","1,288,329,800,000.00","1,304,908,500,000.00","1,328,865,000,000.00","1,350,355,300,000.00","1,371,435,900,000.00","1,422,318,200,000.00","1,447,533,100,000.00","1,451,163,200,000.00","1,453,378,400,000.00","1,476,389,300,000.00","1,490,409,400,000.00","1,520,313,000,000.00","1,542,724,300,000.00","1,526,528,400,000.00","1,442,853,600,000.00","1,467,534,800,000.00","1,476,146,600,000.00","1,435,251,200,000.00","1,410,876,700,000.00","1,404,865,000,000.00"
Kazakhstan - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,676,232,231,700.00","5,941,846,686,100.00","5,626,928,811,800.00","5,109,251,361,000.00","4,465,485,689,700.00","4,099,315,863,000.00","4,119,812,442,400.00","4,189,849,253,900.00","4,110,242,118,100.00","4,221,218,655,200.00","4,634,898,083,500.00","5,260,609,324,700.00","5,776,149,038,600.00","6,313,330,899,200.00","6,919,410,665,500.00","7,590,593,500,000.00","8,402,787,004,500.00","9,150,635,047,900.00","9,452,606,004,500.00","9,566,037,276,500.00","10,264,357,997,700.00","11,034,184,847,600.00","11,585,894,089,900.00","12,281,047,735,300.00","12,809,132,787,900.00"
Kyrgyz Republic - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,062,961,360.43","25,890,031,202.50","29,307,523,113.08","30,125,130,003.99","31,843,104,914.37","29,343,081,788.73","25,267,706,604.38","21,361,489,832.09","17,071,000,670.34","16,145,100,000.00","17,288,900,000.00","19,003,123,549.94","19,406,338,524.45","20,115,793,392.30","21,207,411,875.10","22,335,982,185.89","22,332,106,213.54","23,902,119,392.11","25,581,687,783.84","25,536,779,600.00","26,329,160,000.00","28,578,427,200.00","30,979,476,900.00","31,873,635,900.00","31,723,330,400.00","33,612,859,000.00","33,583,229,200.00","37,248,996,300.00","38,591,091,100.00"
Kosovo - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,320,685,500.00","2,946,665,300.00","2,926,010,700.00","3,100,990,400.00","3,181,992,200.00","3,373,969,100.00","3,525,900,000.00","3,782,800,000.00","3,882,848,200.00","4,012,600,000.00","4,145,400,000.00","4,327,200,000.00","4,446,400,000.00","4,599,000,000.00","4,714,000,000.00"
Liechtenstein - GDP (constant LCU),,,,,,,,,,,,"970,907,400.00","987,114,000.00","1,003,591,100.00","1,020,343,300.00","1,037,375,100.00","1,054,691,300.00","1,104,880,600.00","1,157,458,300.00","1,212,538,000.00","1,270,238,700.00","1,330,685,200.00","1,394,755,300.00","1,372,577,200.00","1,379,969,900.00","1,439,111,400.00","1,540,145,000.00","1,601,750,800.00","1,749,604,700.00","1,848,173,900.00","1,931,193,600.00","1,974,700,900.00","2,010,268,600.00","2,082,805,000.00","2,173,034,200.00","2,322,237,900.00","2,458,682,200.00","2,628,461,600.00","2,818,371,500.00","3,037,112,700.00","3,353,304,200.00","3,461,287,000.00","3,435,912,600.00","3,401,762,400.00","3,335,851,000.00","3,437,233,300.00","3,603,185,500.00","3,914,679,800.00","4,044,880,600.00","4,117,611,100.00","4,069,950,500.00",,,,,
Lithuania - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,416,600,000.00","28,373,100,000.00","31,518,800,000.00","32,347,100,000.00","27,555,200,000.00","28,001,300,000.00","29,713,500,000.00","30,854,000,000.00","31,859,000,000.00","32,798,800,000.00"
Luxembourg - GDP (constant LCU),constant LCU,"5,391,498,923.69","5,597,992,422.48","5,674,051,095.55","5,869,187,871.36","6,330,848,142.39","6,284,320,611.94","6,353,819,172.02","6,367,589,855.88","6,634,001,692.11","7,295,601,256.82","7,472,300,000.00","7,671,600,000.00","8,177,800,000.00","8,857,600,000.00","9,230,700,000.00","8,624,100,000.00","8,842,700,000.00","8,981,500,000.00","9,347,500,000.00","9,566,700,000.00","9,647,200,000.00","9,594,000,000.00","9,702,600,000.00","9,992,600,000.00","10,610,800,000.00","10,907,000,000.00","11,996,000,000.00","12,469,900,000.00","13,525,300,000.00","14,850,500,000.00","15,640,600,000.00","16,992,600,000.00","17,301,800,000.00","18,028,600,000.00","18,717,400,000.00","18,985,500,000.00","19,273,100,000.00","20,417,500,000.00","21,742,900,000.00","23,573,700,000.00","25,563,800,000.00","26,075,100,000.00","26,929,300,000.00","27,249,800,000.00","28,592,200,000.00","29,771,400,000.00","31,224,600,000.00","33,242,700,000.00","33,404,700,000.00","31,623,000,000.00","33,249,900,000.00","34,117,400,000.00","34,061,800,000.00","34,739,700,000.00",
Latvia - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,537,400,000.00","9,777,700,000.00","10,636,400,000.00","11,304,500,000.00","11,548,600,000.00","12,166,400,000.00","13,036,700,000.00","13,973,900,000.00","15,180,000,000.00","16,533,400,000.00","18,215,100,000.00","20,331,900,000.00","22,323,100,000.00","21,614,300,000.00","18,548,100,000.00","18,015,100,000.00","18,915,400,000.00","19,829,800,000.00","20,667,900,000.00","21,156,000,000.00"
Monaco - GDP (constant LCU),,,,,,,,,,,,"1,130,935,851.40","1,190,061,856.55","1,245,379,616.27","1,326,998,776.38","1,386,376,810.27","1,372,892,389.61","1,433,459,305.41","1,484,393,498.68","1,543,079,757.17","1,597,615,358.00","1,624,542,484.81","1,639,526,913.29","1,679,406,593.31","1,699,475,054.53","1,724,704,027.40","1,754,174,039.67","1,797,192,784.29","1,841,845,372.02","1,926,544,500.44","2,006,759,249.87","2,059,807,011.00","2,080,716,728.25","2,109,152,552.90","2,089,876,678.76","2,136,180,490.50","2,181,406,661.94","2,205,636,209.00","2,254,981,750.89","2,333,979,809.31","2,411,013,778.77","2,505,290,008.93","2,560,098,974.32","2,586,378,309.29","2,614,506,091.25","2,679,097,103.78","2,729,877,079.57","2,867,718,024.22","3,285,901,350.93","3,614,491,486.02",,,,,,
Moldova - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,"15,902,999,600.00","15,789,899,800.00","17,642,199,000.00","18,410,899,500.00","19,029,000,200.00","18,022,199,300.00","19,447,500,800.00","19,681,300,500.00","20,014,399,500.00","21,021,580,700.00","20,517,062,800.00","17,234,332,700.00","12,219,141,900.00","12,072,512,200.00","8,342,105,900.00","8,225,316,500.00","7,797,600,000.00","7,922,361,600.00","7,407,408,100.00","7,155,556,200.00","7,305,822,900.00","7,751,478,100.00","8,356,093,400.00","8,907,595,600.00","9,567,654,000.00","10,284,000,000.00","10,777,480,000.00","11,108,127,000.00","11,970,656,000.00","11,253,664,000.00","12,052,007,000.00","12,825,065,000.00","12,735,289,500.00","13,932,000,000.00","14,572,872,000.00"
"Macedonia, FYR - GDP (constant LCU)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"306,729,022,459.26","287,801,487,167.60","268,906,747,816.25","248,821,373,240.51","244,446,679,984.92","241,721,765,118.08","244,586,419,208.86","248,108,418,016.33","256,491,345,542.29","267,620,576,591.82","279,795,000,000.00","271,213,000,000.00","275,265,000,000.00","281,382,000,000.00","294,535,000,000.00","308,447,000,000.00","324,292,000,000.00","345,285,000,000.00","364,178,000,000.00","362,872,000,000.00","375,060,000,000.00","383,836,000,000.00","382,085,000,000.00","392,270,000,000.00","407,049,000,000.00"
Montenegro - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,087,607,500.00","1,140,900,300.00","1,033,655,700.00","1,065,699,000.00","1,077,421,700.00","1,097,892,700.00","1,125,340,000.00","1,174,855,000.00","1,224,116,600.00","1,328,979,500.00","1,470,620,800.00","1,572,426,000.00","1,483,475,200.00","1,520,024,000.00","1,569,094,600.00","1,529,148,400.00","1,580,184,200.00","1,604,285,100.00"
Netherlands - GDP (constant LCU),constant LCU,"122,816,724,500.46","123,179,705,243.26","131,609,517,389.61","136,379,864,293.06","147,665,167,044.00","160,428,007,618.65","164,825,506,689.32","173,528,317,749.30","184,662,127,213.28","196,534,884,648.05","223,186,700,000.00","232,821,600,000.00","241,049,300,000.00","254,172,500,000.00","262,912,800,000.00","262,918,100,000.00","274,634,600,000.00","281,556,600,000.00","289,148,000,000.00","294,972,000,000.00","298,930,200,000.00","296,587,800,000.00","292,907,800,000.00","298,970,900,000.00","308,124,400,000.00","316,074,600,000.00","324,883,500,000.00","331,157,800,000.00","342,553,700,000.00","357,695,000,000.00","372,658,200,000.00","381,747,800,000.00","388,260,700,000.00","393,143,300,000.00","404,784,600,000.00","417,397,800,000.00","430,140,000,000.00","447,450,400,000.00","467,087,300,000.00","488,253,700,000.00","509,626,100,000.00","517,902,500,000.00","517,728,500,000.00","519,104,700,000.00","528,746,200,000.00","540,656,000,000.00","561,316,000,000.00","584,891,600,000.00","597,045,300,000.00","577,354,300,000.00","583,534,900,000.00","593,242,700,000.00","583,835,600,000.00","579,599,800,000.00","584,665,000,000.00"
Norway - GDP (constant LCU),constant LCU,"399,883,947,450.86","424,970,009,126.71","436,928,432,038.38","453,466,361,435.80","476,183,443,485.47","501,352,637,481.11","520,336,421,553.11","552,889,079,184.32","565,383,684,182.85","590,852,022,388.60","607,956,000,000.00","642,442,000,000.00","676,688,000,000.00","707,362,000,000.00","735,112,000,000.00","771,515,000,000.00","816,460,000,000.00","850,431,000,000.00","883,337,000,000.00","921,961,000,000.00","964,045,000,000.00","979,453,000,000.00","981,758,000,000.00","1,020,761,000,000.00","1,082,542,000,000.00","1,142,659,000,000.00","1,188,849,000,000.00","1,209,694,000,000.00","1,206,605,000,000.00","1,219,133,000,000.00","1,242,692,000,000.00","1,281,025,000,000.00","1,326,815,000,000.00","1,364,566,000,000.00","1,433,551,000,000.00","1,493,100,000,000.00","1,568,173,000,000.00","1,651,046,000,000.00","1,694,376,000,000.00","1,728,489,000,000.00","1,783,892,000,000.00","1,821,092,000,000.00","1,847,274,000,000.00","1,864,266,000,000.00","1,938,073,000,000.00","1,988,942,000,000.00","2,036,579,000,000.00","2,096,246,000,000.00","2,104,302,000,000.00","2,070,159,000,000.00","2,082,620,000,000.00","2,102,796,000,000.00","2,160,597,000,000.00","2,176,632,000,000.00","2,225,274,000,000.00"
Poland - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"587,076,007,700.00","545,889,227,700.00","559,618,225,100.00","580,538,490,900.00","611,265,244,100.00","653,759,527,500.00","694,547,040,400.00","743,764,592,100.00","780,816,221,500.00","816,141,898,200.00","850,907,938,500.00","861,163,945,500.00","873,594,840,100.00","904,716,944,200.00","951,180,092,200.00","984,919,000,000.00","1,045,983,978,000.00","1,120,837,822,000.00","1,164,174,258,000.00","1,194,706,747,000.00","1,239,028,102,000.00","1,298,123,242,000.00","1,321,761,298,000.00","1,344,414,435,000.00","1,389,720,709,000.00"
Portugal - GDP (constant LCU),constant LCU,"26,479,279,993.93","27,944,882,582.64","29,793,282,245.12","31,543,250,894.82","33,533,865,775.05","36,038,506,363.43","37,508,124,014.29","40,337,917,877.49","43,918,113,503.42","44,849,503,013.92","52,258,700,000.00","55,724,400,000.00","60,191,100,000.00","66,932,900,000.00","67,697,800,000.00","64,754,600,000.00","69,222,800,000.00","73,101,000,000.00","75,159,500,000.00","79,397,700,000.00","83,041,600,000.00","84,385,300,000.00","86,187,200,000.00","86,038,000,000.00","84,420,500,000.00","86,790,600,000.00","90,384,500,000.00","96,152,300,000.00","103,353,300,000.00","110,009,900,000.00","114,355,800,000.00","119,351,100,000.00","120,651,400,000.00","118,186,200,000.00","119,326,500,000.00","124,437,000,000.00","128,788,200,000.00","134,488,600,000.00","140,933,000,000.00","146,412,800,000.00","151,958,100,000.00","154,911,200,000.00","156,102,100,000.00","154,643,800,000.00","157,445,300,000.00","158,652,600,000.00","161,116,500,000.00","165,131,500,000.00","165,460,600,000.00","160,533,000,000.00","163,581,000,000.00","160,592,700,000.00","154,123,600,000.00","151,650,200,000.00","153,001,600,000.00"
Romania - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,"89,492,485,561.41","90,177,756,614.93","93,785,352,943.39","99,506,257,710.95","105,377,125,330.12","105,272,536,539.60","107,799,898,475.62","108,663,135,734.73","108,120,749,227.88","101,850,069,782.83","96,146,462,812.79","83,743,565,288.26","76,340,290,221.74","77,494,047,848.40","80,570,734,852.84","86,339,522,986.15","89,800,789,790.34","84,320,450,177.39","80,282,292,408.27","79,318,901,691.35","80,984,600,000.00","85,584,500,000.00","89,892,200,000.00","94,525,500,000.00","103,150,900,000.00","107,574,700,000.00","116,951,200,000.00","124,272,000,000.00","134,041,900,000.00","124,928,700,000.00","123,754,800,000.00","126,612,200,000.00","127,060,000,000.00","131,507,000,000.00","133,817,000,000.00"
Russian Federation - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,190,876,722,400.00","10,855,150,908,400.00","10,307,298,014,700.00","8,809,536,936,100.00","8,045,878,672,900.00","7,034,531,357,300.00","6,743,053,552,300.00","6,500,303,624,400.00","6,591,307,875,100.00","6,241,968,557,800.00","6,641,454,545,500.00","7,305,600,000,000.00","7,677,600,000,000.00","8,041,800,000,000.00","8,628,518,013,600.00","9,247,696,082,300.00","9,837,346,480,200.00","10,639,427,833,400.00","11,547,511,532,800.00","12,153,519,572,100.00","11,203,006,779,700.00","11,707,559,466,800.00","12,206,790,473,900.00","12,622,498,436,700.00","12,791,740,594,700.00","12,873,669,872,200.00"
San Marino - GDP (constant LCU),,,,,,,,,,,,"189,620,112.25","193,067,451.32","200,192,798.15","214,458,251.90","226,253,622.37","221,524,558.46","237,309,272.41","243,385,279.38","251,271,286.23","266,245,224.02","275,377,256.86","277,702,142.07","278,850,683.52","282,110,946.16","291,211,399.03","299,359,998.13","307,921,535.57","317,750,382.14","331,077,712.27","342,296,065.83","349,323,241.00","354,678,063.70","357,420,694.83","388,700,754.95","415,840,807.72","454,480,882.82","476,560,926.17","488,020,019.62","524,719,125.10","572,349,879.01","584,843,191.52","617,638,136.84","619,199,800.90","643,405,593.87","673,077,211.07","688,693,851.69","715,242,140.76","740,228,765.77","754,283,742.33",,,,,,
Serbia - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,869,043,800,000.00","1,914,389,700,000.00","2,051,935,400,000.00","2,101,806,800,000.00","1,846,509,000,000.00","1,989,783,500,000.00","2,089,127,700,000.00","2,237,785,600,000.00","2,336,593,100,000.00","2,547,973,300,000.00","2,689,141,900,000.00","2,821,026,800,000.00","2,987,150,300,000.00","3,147,461,200,000.00","3,049,387,200,000.00","3,067,210,200,000.00","3,110,196,100,000.00","3,078,619,200,000.00","3,157,793,100,000.00","3,100,549,200,000.00"
Slovak Republic - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,928,100,000.00","29,478,100,000.00","31,307,400,000.00","33,136,800,000.00","35,375,900,000.00","37,519,800,000.00","39,018,400,000.00","38,939,700,000.00","39,412,100,000.00","40,721,900,000.00","42,641,700,000.00","44,949,200,000.00","47,305,200,000.00","50,398,200,000.00","54,560,700,000.00","60,388,400,000.00","63,677,600,000.00","60,308,900,000.00","63,220,200,000.00","64,929,800,000.00","65,970,000,000.00","66,909,900,000.00","68,522,200,000.00"
Slovenia - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,878,000,000.00","20,577,000,000.00","21,629,400,000.00","22,340,100,000.00","23,518,300,000.00","24,495,600,000.00","25,218,100,000.00","26,185,500,000.00","26,929,800,000.00","28,101,700,000.00","29,226,600,000.00","30,879,700,000.00","33,023,200,000.00","34,113,000,000.00","31,453,100,000.00","31,837,400,000.00","32,032,500,000.00","31,187,000,000.00","30,875,600,000.00","31,689,700,000.00"
Sweden - GDP (constant LCU),constant LCU,"833,944,356,348.44","881,325,216,384.75","918,858,856,689.39","967,814,717,597.26","1,033,833,779,631.56","1,073,341,253,148.50","1,095,783,063,610.99","1,132,661,620,037.42","1,173,870,707,867.43","1,232,677,516,569.43","1,370,761,800,000.00","1,383,710,600,000.00","1,415,380,200,000.00","1,471,542,200,000.00","1,518,605,000,000.00","1,557,372,900,000.00","1,573,851,500,000.00","1,548,728,800,000.00","1,575,855,500,000.00","1,636,368,400,000.00","1,664,186,200,000.00","1,671,755,400,000.00","1,692,630,100,000.00","1,724,800,800,000.00","1,797,751,900,000.00","1,836,590,100,000.00","1,886,018,600,000.00","1,949,272,700,000.00","1,999,155,400,000.00","2,052,229,100,000.00","2,067,716,700,000.00","2,044,021,200,000.00","2,020,339,300,000.00","1,978,606,900,000.00","2,059,484,500,000.00","2,142,364,400,000.00","2,174,882,500,000.00","2,237,964,600,000.00","2,332,558,700,000.00","2,438,227,200,000.00","2,553,684,300,000.00","2,593,608,800,000.00","2,647,389,300,000.00","2,710,549,200,000.00","2,827,659,200,000.00","2,907,352,000,000.00","3,043,652,400,000.00","3,147,287,200,000.00","3,129,755,300,000.00","2,967,488,100,000.00","3,145,208,800,000.00","3,229,010,000,000.00","3,219,764,700,000.00","3,261,053,700,000.00","3,335,354,900,000.00"
Tajikistan - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,"4,333,977,340.04","4,485,666,546.95","4,431,838,548.38","5,047,864,106.61","4,719,752,939.68","4,691,434,422.04","4,358,342,578.07","3,094,423,230.43","2,586,937,820.64","2,035,920,064.85","1,783,465,976.80","1,485,627,158.68","1,510,882,820.38","1,590,959,609.86","1,649,825,115.42","1,786,760,576.00","1,969,010,154.75","2,181,663,251.47","2,421,646,209.13","2,671,075,768.67","2,850,037,845.17","3,049,540,494.33","3,287,404,652.89","3,547,109,620.46","3,681,899,786.04","3,921,223,272.13","4,211,393,794.27","4,527,248,328.84","4,862,264,705.18","5,188,000,000.00"
Turkmenistan - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,313,430,013.91","13,670,815,999.69","13,089,079,148.64","17,720,591,866.96","16,904,511,978.52","14,374,585,015.86","14,590,203,790.38","12,066,118,925.07","11,197,353,377.72","11,947,575,229.23","10,585,551,585.14","11,337,125,781.86","13,207,751,507.44","13,930,091,906.14","14,535,193,580.68","14,572,575,242.59","15,048,927,745.53","15,801,435,426.69","17,862,000,000.00","19,820,942,571.50","22,013,000,000.00","25,248,000,000.00","26,789,000,000.00","29,253,000,000.00","33,553,000,000.00","37,278,000,000.00","41,080,360,000.00","45,311,630,000.00"
Turkey - GDP (constant LCU),constant LCU,"12,110,267,900.00","12,250,271,000.00","12,932,786,100.00","14,105,312,000.00","14,875,329,000.00","15,295,338,300.00","17,010,376,300.00","17,815,394,100.00","19,022,920,800.00","19,799,273,900.00","20,439,485,200.00","21,577,288,900.00","23,179,572,700.00","23,935,767,900.00","25,274,848,300.00","27,088,094,400.00","29,921,828,600.00","30,941,166,500.00","31,406,191,500.00","31,210,181,200.00","30,446,358,700.00","31,925,031,400.00","33,062,593,000.00","34,706,161,200.00","37,035,644,200.00","38,606,450,200.00","41,313,546,500.00","45,232,359,000.00","46,282,083,000.00","46,416,414,000.00","50,717,427,000.00","51,082,734,000.00","53,655,074,000.00","57,760,366,000.00","55,064,027,000.00","59,402,118,000.00","63,785,795,000.00","68,619,268,000.00","70,203,147,200.00","67,840,569,800.00","72,436,398,900.00","68,309,352,100.00","72,519,831,000.00","76,338,192,500.00","83,485,590,600.00","90,499,730,900.00","96,738,320,200.00","101,254,625,500.00","101,921,729,900.00","97,003,114,400.00","105,885,643,900.00","115,174,724,200.00","117,625,021,100.00","122,556,461,000.00","126,069,789,200.00"
Ukraine - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"490,700,897,519.45","503,294,555,810.13","522,787,673,442.45","489,615,566,266.87","448,435,744,637.01","404,941,968,066.90","347,334,490,863.06","267,676,640,565.61","235,020,090,416.60","211,518,081,374.94","205,172,538,933.69","201,274,260,693.95","200,871,712,172.57","212,723,143,190.75","232,293,672,364.30","244,372,943,327.24","267,344,000,000.00","299,692,624,000.00","307,784,324,848.00","330,252,580,600.00","356,342,537,000.00","364,538,415,300.00","310,586,729,800.00","323,631,372,500.00","340,460,203,900.00","341,141,124,300.00","341,141,124,300.00","317,943,500,000.00"
Uzbekistan - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"984,783,516,700.00","1,074,778,768,600.00","1,108,003,339,900.00","1,125,731,393,400.00","1,120,192,794,900.00","994,731,201,900.00","971,852,384,200.00","921,316,060,300.00","913,024,215,700.00","928,545,627,400.00","976,830,000,000.00","1,018,833,690,000.00","1,062,643,538,700.00","1,103,023,993,100.00","1,149,351,000,900.00","1,195,325,040,900.00","1,245,528,692,600.00","1,341,434,401,900.00","1,435,334,810,100.00","1,540,114,251,200.00","1,686,425,105,100.00","1,845,273,377,500.00","1,994,740,521,000.00","2,164,293,465,300.00","2,343,929,822,900.00","2,536,132,068,400.00","2,739,022,633,900.00","2,960,883,467,300.00"
Aruba - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,724,310,000.00","2,758,230,000.00","2,973,770,000.00","3,172,020,000.00","3,208,640,000.00","3,353,480,000.00","3,341,250,000.00","3,268,930,000.00","3,284,140,000.00","3,531,090,000.00","3,572,640,000.00","3,586,230,000.00","3,670,690,000.00","3,536,540,000.00","3,293,180,000.00","3,107,000,000.00",,,,,
